timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl,btc_price
2021-01-08T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-11T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-12T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-13T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-14T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-15T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-18T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-19T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-20T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-21T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-22T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-25T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-26T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-27T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-28T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-01-29T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-01T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-02T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-03T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-04T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-05T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-08T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-09T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-10T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-11T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-12T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-15T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-16T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-17T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-18T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-19T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-22T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-23T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-24T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-25T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-02-26T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-03-01T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-03-02T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-03-03T00:00:00+00:00,1017.23,1017.23,1.72,0,No positions,0.00,0.00,
2021-03-04T00:00:00+00:00,849.88,1017.00,1.70,1,GOLD:long:0.4913@1700.7000,167.11,0.00,
2021-03-05T00:00:00+00:00,1015.46,1015.46,1.55,0,No positions,0.00,0.00,
2021-03-08T00:00:00+00:00,893.63,1015.29,1.53,1,GOLD:long:0.3625@1678.0000,121.66,-0.00,
2021-03-09T00:00:00+00:00,893.63,1029.39,2.94,1,GOLD:long:0.3625@1678.0000,121.66,14.10,
2021-03-10T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-11T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-12T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-15T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-16T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-17T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-18T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-19T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-22T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-23T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-24T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-25T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-26T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-29T00:00:00+00:00,1030.17,1030.17,3.02,0,No positions,0.00,0.00,
2021-03-30T00:00:00+00:00,931.14,1030.04,3.00,1,GOLD:long:0.2934@1685.1000,98.90,0.00,
2021-03-31T00:00:00+00:00,931.14,1038.64,3.86,1,GOLD:long:0.2934@1685.1000,98.90,8.60,
2021-04-01T00:00:00+00:00,1040.01,1040.01,4.00,0,No positions,0.00,0.00,
2021-04-05T00:00:00+00:00,1040.01,1040.01,4.00,0,No positions,0.00,0.00,
2021-04-06T00:00:00+00:00,1040.01,1040.01,4.00,0,No positions,0.00,0.00,
2021-04-07T00:00:00+00:00,1040.01,1040.01,4.00,0,No positions,0.00,0.00,
2021-04-08T00:00:00+00:00,975.91,1039.92,3.99,1,GOLD:long:0.1821@1757.1000,64.01,-0.00,
2021-04-09T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-12T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-13T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-14T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-15T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-16T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-19T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-20T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-21T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-22T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-23T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-26T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-27T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-28T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-29T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-04-30T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-03T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-04T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-05T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-06T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-07T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-10T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-11T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-12T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-13T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-14T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-17T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-18T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-19T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-20T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-21T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-24T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-25T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-26T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-27T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-28T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-05-31T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-01T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-02T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-03T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-04T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-07T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-08T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-09T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-10T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-11T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-14T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-15T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-16T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-17T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-18T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-21T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-22T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-23T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-24T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-25T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-28T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-29T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-06-30T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-01T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-02T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-05T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-06T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-07T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-08T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-09T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-12T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-13T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-14T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-15T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-16T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-19T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-20T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-21T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-22T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-23T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-26T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-27T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-28T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-29T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-07-30T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-02T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-03T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-04T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-05T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-06T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-09T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-10T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-11T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-12T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-13T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-16T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-17T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-18T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-19T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-20T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-23T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-24T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-25T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-26T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-27T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-30T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-08-31T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-01T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-02T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-03T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-06T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-07T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-08T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-09T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-10T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-13T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-14T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-15T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-16T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-17T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-20T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-21T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-22T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-23T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-24T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-27T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-28T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-29T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-09-30T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-01T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-04T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-05T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-06T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-07T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-08T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-11T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-12T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-13T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-14T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-15T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-18T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-19T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-20T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-21T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-22T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-25T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-26T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-27T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-28T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-10-29T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-11-01T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-11-02T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-11-03T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-11-04T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-11-05T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-11-08T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-11-09T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-11-10T00:00:00+00:00,1037.32,1037.32,3.73,0,No positions,0.00,0.00,
2021-11-11T00:00:00+00:00,923.13,1037.16,3.72,1,GOLD:long:0.3059@1863.9000,114.03,-0.00,
2021-11-12T00:00:00+00:00,923.13,1038.57,3.86,1,GOLD:long:0.3059@1863.9000,114.03,1.41,
2021-11-15T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-16T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-17T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-18T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-19T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-22T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-23T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-24T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-25T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-26T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-29T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-11-30T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-01T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-02T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-03T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-06T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-07T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-08T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-09T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-10T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-13T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-14T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-15T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-16T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-17T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-20T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-21T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-22T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-23T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-27T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-28T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-29T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-30T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
2021-12-31T00:00:00+00:00,1037.67,1037.67,3.77,0,No positions,0.00,0.00,
